가구제작,3
제약회사,3
방과후교사,3
판매알바,3
통신장비기사,3
언론인,3
응급구조사,3
은행직원,3
대학교직원,3
일식 조리사,3
박사후연구원,3
음식점 서빙,3
교원,3
자영업(슈퍼운영),3
사무직회사원,3
옷가게 점원,3
보험 영업사원,3
기계설비,3
직장인(사무직),3
건축시공,3
가이드,3
환경엔지니어링,3
편집 디자이너,3
배달직,3
초등학교교사,3
섬유회사 기계조작원,3
화장품판매,3
자영업(도소매),3
숙박업,3
연극인,3
인쇄사 기술직,3
경영사무원,3
해당 없음,3
도서관 사서,3
매장계산원,3
중장비기사,3
학예사,3
휴대폰판매원,3
카메라감독,3
놀이치료사,3
택시운전기사,3
제조업 현장직,3
체육관 운영,3
미술학원 운영,3
시스템엔지니어,3
상담교사,3
병원 간호사,3
코웨이 코디,3
정육점,3
연구개발,3
컴퓨터 프로그램 개발,3
연주자,3
회사원(상세히는 거절),3
행정공무원,3
프로그램 개발자,3
내선전공,3
콜센터 상담사,3
산업디자이너,3
언어치료사,3
QA,3
개발팀장,3
음향엔지니어,3
중위,3
배선전공,3
품질관리원,3
신발판매원,3
병원간호사,3
유통 판매,3
판매종사원,3
증권회사 직원,3
광고디자인,3
시설관리직,3
경영기획 사무원,3
인터넷설치기사,3
토목기술자,3
논농사,3
귀금속 세공원,3
단순제조원,3
안전관리사,3
도매업,3
건설회사 사무직,3
환경관리,3
설비기사,3
음악선생님,3
식당종업원,3
시각디자인,3
선박항해사,3
자동차수리원,3
보험사 근무,3
신문사 근무,3
전기설계,3
국회의원,3
내선전기공,3
학교 교사,3
판매서비스업,3
연출가,3
유치원 보조교사,3
봉제원,3
게임프로그래머,3
초등 교사,3
건축설비,3
체육지도자,3
주방장,3
방문판매원,3
평생,3
안무가,3
회사원(거절),3
용접사,3
회사원(판매직),3
건축석공,3
시스템 엔지니어,3
경영관리자,3
일반회사 사무원,3
공장직원,3
게임기획자,3
회사원(사무원),3
버스운전,3
현재와 동일함,3
유치원원감,3
섬유회사,3
화물차 운전,3
농업(벼농사),3
영상편집,3
전기수리공,3
환경영향평가,3
동일하다,3
노무자,3
인사사무원,3
전기업,3
자동차 영업원,3
축산업,3
휴대폰 판매,3
화물차기사,3
회사원(구체적으로 거절),3
수학교사,3
출판업,3
피아노 학원강사,3
실내건축디자이너,3
음악학원장,3
제약회사 연구원,3
자동차조립원,3
초등학교 방과후 교사,3
금융회사,3
자동차영업,3
음식배달,3
군 조종사,3
한복제조원,3
개인자영업,3
자동차부품 조립원,3
판매직사원,3
조선소,3
탁구선수,3
금속가공 조작원,3
유치원선생님,3
국어선생님,3
웨딩플래너,3
광고기획자,3
건설회사 일용직,3
현장노무직,3
과일판매직,3
정비기사,3
PC방 운영,3
동물병원 간호사,3
어린이집 선생님,3
피아노강사,3
조경사,3
대학병원 전공의,3
임대업,3
없다(무직),3
포크레인 기사,3
광고디자이너,3
회계사무직,3
서버관리,3
자동차딜러,3
금형,3
카페매니저,3
사진관운영,3
포크레인기사,3
영어학원 강사,3
유리시공,3
SI개발,3
코팅원,3
통신업,3
미술학원 선생님,3
회사원(영업직),3
건설현장일용직,3
경찰관,3
응용프로그래머,3
경영지원,3
운전학원강사,3
병원사무직,3
지게차 기사,3
박물관 연구원,3
해기사,3
관세공무원,3
사진사,3
세탁소운영,3
쥬얼리 디자이너,3
카페알바,3
자재관리,3
총무부 사무원,3
자동차 정비기사,3
자동차부품조립원,3
통신,3
전산업무,3
여행사 가이드,3
S/W개발,3
도장기 조작원,3
퀵서비스,3
네일아트,3
버스운전원,3
화장품판매원,3
영업관리,3
설계엔지니어,3
건설현장 잡부,3
대기업 사무직,3
행정 사무원,3
마케팅연구원,2
은행,2
금속기계 조작원,2
전문직,2
배관수리공,2
공인 중개사,2
합기도 사범,2
타이어기계조작원,2
비파괴 검사원,2
공무원(5급),2
신경과의사,2
농사지음,2
포워더,2
중국어강사,2
입시학원 강사,2
식당 주방,2
사법연수원생,2
검안사,2
과일가게 운영,2
생활체육지도자,2
초등학교 기간제 교사,2
생산직(구체적으로 거절),2
"회사원,사무직",2
자동차수리공,2
자영업(판매직),2
컴퓨터수리기사,2
법무사,2
전기내선설치기사,2
도로운송사무원,2
사진촬영,2
슈퍼계산원,2
편의점 아르바이트,2
유도선수,2
금속가공기계조작원,2
변동없음,2
인사과 사무원,2
선박기관사,2
제조업 관리자,2
태권도 선수,2
전업 주부,2
자동차 정비업,2
전기내선공,2
예술가,2
식당보조원,2
홍보대행사,2
구의원,2
매장매니저,2
원양어선 선원,2
음식점 종업원,2
기계 설비,2
마트 배달원,2
